DateTime	X
3/15/2014 12:35	0.002166814
3/25/2014 10:51	0.515732292
4/16/2014 18:38	0.099856563
5/10/2014 13:19	0.417920469
5/15/2014 19:54	0.418012024
5/30/2014 7:33	0.558366649
7/6/2014 6:46	0.205145421
7/18/2014 17:03	0.091921751
7/29/2014 8:26	0.357860042
8/17/2014 8:02	0.057954649
8/22/2014 13:31	0.13348796
9/16/2014 6:50	0.871028779
9/26/2014 0:19	0.791131321
10/14/2014 14:20	0.058107242
10/20/2014 3:57	0.399273659
10/26/2014 12:17	0.777062288
10/30/2014 1:20	0.45719779
11/8/2014 21:04	0.425092318
11/13/2014 8:19	0.650166326
11/29/2014 18:50	0.62715537
1/12/2015 1:57	0.12387463
1/15/2015 20:05	0.697653127
1/17/2015 21:40	0.243018891
3/5/2015 4:21	0.931302835
3/22/2015 23:52	0.019745476
4/10/2015 14:12	0.415265358
4/17/2015 22:53	0.384228034
5/31/2015 14:48	0.096346934
8/26/2015 11:08	0.346415601
8/31/2015 5:27	0.206091494
9/25/2015 21:12	0.990478225
10/1/2015 22:58	0.468428602
10/8/2015 20:38	0.277077548
10/15/2015 1:23	0.416089358
1/27/2016 6:50	0.926786096
2/9/2016 5:43	0.243903928
2/21/2016 21:25	0.347941527
3/9/2016 21:26	0.560228278
8/19/2016 5:01	0.777550584
8/28/2016 8:18	0.781304361
9/18/2016 8:02	0.648182623
10/29/2016 22:06	0.37736137
11/11/2016 2:46	0.807306131
11/20/2016 17:05	0.344340342
11/27/2016 2:39	0.715109714
2/22/2017 9:30	0.769768365
5/4/2017 15:33	0.266701254
6/24/2017 14:38	0.80834376
7/11/2017 11:55	0.540604877
7/19/2017 7:15	0.40867336
