DateTime	Y
3/15/2014 12:35	11.7289358
3/25/2014 10:51	28.37446466
4/16/2014 18:38	12.13332013
5/10/2014 13:19	23.24668931
5/15/2014 19:54	22.14093362
5/30/2014 7:33	30.62710246
7/6/2014 6:46	14.48604582
7/18/2014 17:03	10.8446737
7/29/2014 8:26	17.97482494
8/17/2014 8:02	10.30270108
8/22/2014 13:31	11.42259698
9/16/2014 6:50	56.48234448
9/26/2014 0:19	47.71044163
10/14/2014 14:20	10.32164176
10/20/2014 3:57	21.71627808
10/26/2014 12:17	48.75855973
10/30/2014 1:20	22.63261434
11/8/2014 21:04	23.09841668
11/13/2014 8:19	35.22291683
11/29/2014 18:50	35.39390044
1/12/2015 1:57	9.912836209
1/15/2015 20:05	40.48801424
1/17/2015 21:40	15.33140491
3/5/2015 4:21	61.3620609
3/22/2015 23:52	10.57540242
4/10/2015 14:12	23.62598706
4/17/2015 22:53	21.04202182
5/31/2015 14:48	10.29430434
8/26/2015 11:08	21.3094919
8/31/2015 5:27	14.82161889
9/25/2015 21:12	69.40764709
10/1/2015 22:58	26.07577584
10/8/2015 20:38	16.07512865
10/15/2015 1:23	22.45834106
1/27/2016 6:50	61.80383531
2/9/2016 5:43	16.52261717
2/21/2016 21:25	18.88067102
3/9/2016 21:26	28.92446168
8/19/2016 5:01	48.81041853
8/28/2016 8:18	50.09401741
9/18/2016 8:02	36.91283001
10/29/2016 22:06	20.80700639
11/11/2016 2:46	49.41138306
11/20/2016 17:05	18.08615673
11/27/2016 2:39	43.57880946
2/22/2017 9:30	47.16673629
5/4/2017 15:33	16.65679044
6/24/2017 14:38	50.72238231
7/11/2017 11:55	28.29595375
7/19/2017 7:15	22.44224152
