DateTime	X
2/7/2013 13:00	81.5325
2/10/2013 12:00	83.1117
2/13/2013 10:30	83.9123
2/16/2013 10:15	85.2397
2/19/2013 12:00	85.4468
2/23/2013 13:00	85.5983
3/5/2013 13:00	86.062
3/8/2013 16:00	86.0626
3/10/2013 10:00	86.1274
3/10/2013 19:00	86.1363
3/11/2013 10:30	86.2296
3/11/2013 18:00	86.8244
3/12/2013 7:30	87.2422
3/13/2013 13:00	87.5975
3/14/2013 9:45	87.6767
3/15/2013 10:00	87.7107
3/15/2013 19:00	87.8315
3/16/2013 10:00	89.0822
3/20/2013 11:00	89.2922
3/20/2013 14:30	90.0849
3/23/2013 12:00	90.8109
3/26/2013 11:30	91.492
4/2/2013 13:30	92.3159
4/6/2013 11:00	92.8643
4/10/2013 15:20	93.3095
4/11/2013 9:30	93.4223
4/12/2013 10:30	93.6387
4/15/2013 11:30	94.2708
4/17/2013 8:00	95.1198
4/18/2013 8:00	95.4164
4/18/2013 12:00	95.4367
4/18/2013 14:53	95.7885
4/18/2013 18:00	97.3788
4/19/2013 12:00	97.8874
4/19/2013 19:00	98.1773
4/23/2013 8:15	98.2831
4/24/2013 9:30	98.9275
4/25/2013 9:45	98.9502
4/26/2013 18:25	99.3477
4/29/2013 12:45	99.8058
4/30/2013 10:00	100.115
5/2/2013 10:00	100.343
5/3/2013 18:15	100.65
5/4/2013 8:30	101.057
5/5/2013 12:00	101.141
5/8/2013 9:30	101.252
5/10/2013 13:00	101.382
5/14/2013 19:30	101.596
5/17/2013 9:05	102.049
5/17/2013 9:20	104.064
